,timestamp,gps_timestamp,latitude,latitude_error,longitude,longitude_error,altitude,altitude_error,velocity,velocity_error,heading,heading_error,magnetic_declination,nsat,imu_timestamp,ax,ay,az,gx,gy,gz,compass_timestamp,compass_heading,barometer_timestamp,temperature,pressure,barometer_altitude,adc_timestamp,A0,A1,A2,A3,heart_rate,battery_voltage,North,East,Down,smoothed_velocity,smoothed_heading
0,1654315465.38474,1654315465.3436315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1654315465.3739054,0.18435352783203124,-0.009576806640625,7.668627917480468,-0.019229648621875182,0.0014567915622632716,-0.1984732824427481,1654315465.3795087,229.32227705949103,1654315465.38323,34.55219113808405,100105.8047876806,0.10170416489534873,1654315465.0265532,3913,4362,4228,4317,3913,4362,0.0,-0.0,0.0,0.0,0.0
1,1654315465.447561,1654315465.3436315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1654315465.4257746,0.19871873779296872,-0.062249243164062495,7.788338000488281,-0.018588660334479343,0.0034962997494318512,-0.3435114503816794,1654315465.434258,229.32227705949103,1654315465.38323,34.55219113808405,100110.4464226128,0.10170416489534873,1654315465.4472368,4831,4380,4506,4221,4831,4380,0.0,-0.0,0.0,0.0,0.0
2,1654315466.2557662,1654315466.0770173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1654315466.1628766,0.19393033447265623,-0.06464344482421874,7.520187414550781,-0.018180758697045628,0.002097779849659111,-0.32061068702290074,1654315466.251872,229.49218696511124,1654315466.251351,34.55219113808405,100106.44366069339,0.10158764137523923,1654315465.9803593,5187,4284,4564,4641,5187,4284,0.0,-0.0,0.0,0.0,0.0
3,1654315466.3096948,1654315466.2954278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1654315466.2972019,0.21308394775390624,-0.05027823486328125,7.809885815429687,-0.01829730202202669,0.0010488899248295555,-0.1450381679389313,1654315466.2757165,229.49218696511124,1654315466.251351,34.55219113808405,100110.6242947681,0.10104731298488434,1654315466.3055975,3882,4290,4577,4245,3882,4290,0.0,-0.0,0.0,0.0,0.0
4,1654315467.2507224,1654315467.080988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1654315467.2384236,0.19871873779296872,-0.07422025146484375,7.659051110839843,-0.017248412097197133,0.0021560515121496417,-0.48854961832061067,1654315467.246788,229.42412871356058,1654315467.100705,34.55785351818818,100122.8105729504,0.10142343180461366,1654315467.0820098,5256,4540,4271,4690,5256,4540,0.0,-0.0,0.0,0.0,0.0
5,1654315468.2520137,1654315468.0806682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1654315468.244587,0.239420166015625,-0.040701428222656245,7.7979148071289055,-0.017831128722102442,0.0014567915622632716,-0.2900763358778626,1654315468.1589909,229.82342537026372,1654315468.2507265,34.57483976799176,100109.1363764057,0.10213689514565694,1654315468.114664,3890,4676,4547,4238,3890,4676,0.0,-0.0,0.0,0.0,0.0
6,1654315468.307349,1654315468.3007236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1654315468.288591,0.2609679809570312,-0.023942016601562498,7.618349682617187,-0.01771458539712138,0.0031466697744886663,-0.31297709923664124,1654315468.3031328,229.48352509986276,1654315468.2507265,34.57483976799176,100115.37106445365,0.10213689514565694,1654315468.114664,3890,4676,4547,4238,3890,4676,0.0,-0.0,0.0,0.0,0.0
7,1654315469.2371237,1654315469.0762298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1654315469.1213017,0.258573779296875,-0.06943184814453125,7.740453967285156,-0.018821746984441466,0.0015150632247538022,-0.21374045801526717,1654315469.2329626,229.54302691251823,1654315469.109667,34.563515749852506,100104.31694143366,0.10222952469437274,1654315469.2308135,4133,4250,4233,4543,4133,4250,0.0,-0.0,0.0,0.0,0.0
8,1654315470.1839738,1654315469.3439713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1654315470.1773803,0.19871873779296872,-0.086191259765625,7.709329345703124,-0.018239030359536158,0.002330866499621234,-0.26717557251908397,1654315470.0655925,229.72216642928097,1654315470.0650907,34.569177833109535,100120.65130971109,0.10117268407918711,1654315470.006564,3985,4380,4298,4252,3985,4380,0.0,-0.0,0.0,0.0,0.0
9,1654315471.2373402,1654315471.0832386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1654315471.1309485,0.2705447875976562,-0.023942016601562498,7.694964135742187,-0.017889400384592972,0.002097779849659111,-0.22900763358778625,1654315471.2306578,230.00341017156435,1654315471.2297666,34.55219113808405,100116.85896576293,0.10099351438733639,1654315471.069624,3900,4256,4600,4502,3900,4256,0.0,-0.0,0.0,0.0,0.0
10,1654315471.2766387,1654315471.0832386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1654315471.264016,0.20350714111328125,-0.06943184814453125,7.654262707519531,-0.018646931996969873,0.0017481498747159256,-0.2595419847328244,1654315471.2573125,229.6115415956062,1654315471.2297666,34.55219113808405,100110.4464226128,0.10099351438733639,1654315471.069624,3900,4256,4600,4502,3900,4256,0.0,-0.0,0.0,0.0,0.0
